Feature,Coefficient,Odds Ratio
Hypertension,0.5137514268573681,1.671550145717668
Res_Age,0.2986927076311859,1.3480953004187617
BMI,0.18205305948533781,1.1996778464802718
Alcohol,0.060578592270632614,1.0624510947331374
Wealth_Idx_Lb,0.05200830770064774,1.053384493680054
Edu_level,0.018511833147557274,1.018684239339174
Tobacco,0.007705510666789473,1.0077352745135388
Smoke,-0.019026853516731335,0.9811530144801522
ResidenceType_Urban,-0.035375528232515926,0.9652428722393092
Anemia_level,-0.1557356539157236,0.855785383988241
